PatientID,DynamicSliceZ,Pcd_Sens,Pnd,Pfa,Accuracy,FOM,ProcessingTime,NumClusters
<<<<<<< HEAD
BRATS_001.nii.gz,72,0.255263157894737,0.744736842105263,5.85,0.964398015512543,0.155453026294708,1.35078516666667,4
BRATS_002.nii.gz,91,0.606918238993711,0.393081761006289,0.112068965517241,0.997367273995292,0.876156330108643,0.93234925,4
BRATS_003.nii.gz,100,0.442307692307692,0.557692307692308,0.123499142367067,0.991608735341619,0.614969730377197,0.842306458333333,4
BRATS_004.nii.gz,98,0.4375,0.5625,0.380952380952381,0.995028433869448,0.7959885597229,0.800780333333333,4
BRATS_005.nii.gz,70,0.34341252699784,0.65658747300216,0.418848167539267,0.991884990730701,0.60708874464035,0.79305075,4
BRATS_006.nii.gz,86,0.437847866419295,0.562152133580705,0.340579710144928,0.992226618579082,0.728331506252289,0.835935208333333,4
BRATS_007.nii.gz,104,0,1,2.25161290322581,0.982359735396031,0.0287356823682785,0.836976708333333,4
BRATS_008.nii.gz,78,0.1003861003861,0.8996138996139,2.175983436853,0.973366807703787,0.106014877557755,1.0220035,4
BRATS_009.nii.gz,93,0.0761099365750529,0.923890063424947,0.683972911963883,0.987020504095557,0.325453370809555,0.726890125,4
BRATS_010.nii.gz,87,0,1,3.98952879581152,0.983380419238952,0.00165515334811062,0.884200541666667,4
BRATS_011.nii.gz,96,0,1,3.75728155339806,0.974284964576227,0.0454963147640228,0.757616416666667,4
BRATS_012.nii.gz,43,NaN,NaN,Inf,0.992690972222222,0,0.754418125,4
BRATS_013.nii.gz,41,NaN,NaN,Inf,0.991579861111111,0,0.763473875,4
BRATS_014.nii.gz,80,0.307262569832402,0.692737430167598,0.647651006711409,0.992293847309836,0.587559044361115,0.745909208333333,4
BRATS_015.nii.gz,95,0.487084870848708,0.512915129151292,1.09352517985612,0.987148509997549,0.592998325824738,0.701038625,4
BRATS_016.nii.gz,74,0.416413373860182,0.583586626139818,6.29818181818182,0.966409441670449,0.125477492809296,0.731444666666667,4
BRATS_017.nii.gz,66,0.421412300683371,0.578587699316629,3.23372781065089,0.976448578522223,0.236559554934502,0.717549875,4
BRATS_018.nii.gz,105,0.292181069958848,0.707818930041152,5.73148148148148,0.975403830722534,0.101392611861229,0.70500525,4
BRATS_019.nii.gz,61,0.278118609406953,0.721881390593047,2.9727047146402,0.972844737026402,0.20390696823597,0.770669333333333,4
BRATS_020.nii.gz,90,0.35935397039031,0.64064602960969,2.00164203612479,0.970208802024747,0.248390451073647,0.793608083333333,4
BRATS_021.nii.gz,66,0.35042735042735,0.64957264957265,4.55789473684211,0.982252440725244,0.193764865398407,0.685045916666667,4
BRATS_022.nii.gz,73,0.0485175202156334,0.951482479784367,1.40960451977401,0.985081683038294,0.279631853103638,0.705286,4
BRATS_023.nii.gz,20,NaN,NaN,Inf,0.994097222222222,0,0.647015541666667,4
BRATS_024.nii.gz,110,0,1,4.19473684210526,0.982782681505774,0.0519512891769409,0.67585225,4
BRATS_025.nii.gz,72,0.464912280701754,0.535087719298246,5.12269938650307,0.983338846428385,0.210437968373299,0.71217575,4
BRATS_026.nii.gz,95,0.619377162629758,0.380622837370242,0.106796116504854,0.997699747320728,0.905954003334045,0.671931333333333,4
BRATS_027.nii.gz,107,0.291044776119403,0.708955223880597,0.625570776255708,0.994297870856366,0.68673175573349,0.666922208333333,4
BRATS_028.nii.gz,76,0.517482517482518,0.482517482517482,8.135,0.969253013727266,0.139242008328438,0.696132958333333,4
BRATS_029.nii.gz,58,0.198924731182796,0.801075268817204,9.0125,0.972283195707467,0.0730345025658607,0.679242208333333,4
BRATS_030.nii.gz,87,0.246445497630332,0.753554502369668,5.82485875706215,0.979257451629772,0.0936552733182907,0.674863791666667,4
BRATS_031.nii.gz,93,0.0638297872340425,0.936170212765957,8.2618025751073,0.962538640213766,0.0216914545744658,0.654927,4
BRATS_032.nii.gz,99,0.426984126984127,0.573015873015873,2.36771300448431,0.975207768349226,0.41435182094574,0.666443916666667,4
BRATS_033.nii.gz,74,0.566265060240964,0.433734939759036,0.30503144654088,0.995161741074548,0.844012439250946,0.773810833333333,4
BRATS_034.nii.gz,93,0.453222453222453,0.546777546777547,4.81325301204819,0.967499694381865,0.239164277911186,0.648365375,4
BRATS_035.nii.gz,62,0.271676300578035,0.728323699421965,5.01730103806228,0.970271780898484,0.109813034534454,0.687184833333333,4
BRATS_036.nii.gz,91,0.175637393767705,0.824362606232295,3,0.97913499344692,0.166118443012238,0.7214365,4
BRATS_037.nii.gz,56,0,1,2.09090909090909,0.979147318064731,0.00511347502470016,0.707021166666667,4
BRATS_038.nii.gz,68,0.238805970149254,0.761194029850746,3.17039106145251,0.974787416453792,0.113796353340149,0.686066875,4
BRATS_039.nii.gz,58,0.352941176470588,0.647058823529412,1.22222222222222,0.99078260565962,0.414766490459442,0.632831916666667,4
BRATS_040.nii.gz,73,0.390862944162437,0.609137055837564,3.8019801980198,0.975683041017399,0.180998459458351,0.650853375,4
BRATS_041.nii.gz,88,0.259259259259259,0.740740740740741,4.26439790575916,0.96586929111796,0.0997572243213654,0.698813208333333,4
BRATS_042.nii.gz,105,0.273743016759777,0.726256983240223,3.12244897959184,0.989741535460499,0.149130448698997,0.718529625,4
BRATS_043.nii.gz,60,0.507246376811594,0.492753623188406,23.4259259259259,0.977424008064096,0.0593811385333538,0.699402041666667,4
BRATS_044.nii.gz,91,0.539772727272727,0.460227272727273,0.261194029850746,0.995950144887058,0.862241625785828,0.690142833333333,4
BRATS_045.nii.gz,96,0.557324840764331,0.442675159235669,0.44047619047619,0.995636389024646,0.76750659942627,0.719655541666667,4
BRATS_046.nii.gz,63,0.0465116279069767,0.953488372093023,3.94237288135593,0.97464813357811,0.0492780655622482,0.677064791666667,4
BRATS_047.nii.gz,87,0.232558139534884,0.767441860465116,4.25227272727273,0.960251779640215,0.173744067549706,0.671799458333333,4
BRATS_048.nii.gz,70,0.360623781676413,0.639376218323587,0.597435897435897,0.990189735070386,0.706792652606964,0.718778666666667,4
BRATS_049.nii.gz,62,0.455056179775281,0.544943820224719,5.31541218637993,0.970727364764615,0.180469796061516,0.711343875,4
BRATS_050.nii.gz,68,0.0412979351032448,0.958702064896755,0.588414634146341,0.99093629157845,0.290567338466644,0.787076666666667,4
BRATS_051.nii.gz,93,0.501312335958005,0.498687664041995,0.276752767527675,0.995375863753752,0.864548683166504,1.14713316666667,4
BRATS_052.nii.gz,68,0.282608695652174,0.717391304347826,0.543624161073825,0.992559861676302,0.607164084911346,0.818303041666667,4
BRATS_053.nii.gz,89,0.292910447761194,0.707089552238806,1.82182628062361,0.979011046817465,0.363343358039856,0.692403416666667,4
BRATS_054.nii.gz,95,0.0980926430517711,0.901907356948229,0.982456140350877,0.988320170907244,0.382821977138519,0.666884125,4
BRATS_055.nii.gz,93,0.182628062360802,0.817371937639198,0.938775510204082,0.987123335669236,0.480522215366364,0.667251375,4
BRATS_056.nii.gz,95,0.148337595907928,0.851662404092072,0.852367688022284,0.988807930780818,0.381082892417908,0.718348166666667,4
BRATS_057.nii.gz,95,0.11645101663586,0.88354898336414,0.684738955823293,0.985607085742404,0.363065421581268,0.663834,4
BRATS_058.nii.gz,96,0.232758620689655,0.767241379310345,0.638888888888889,0.984149577380639,0.544220089912415,0.675981791666667,4
BRATS_059.nii.gz,78,0.549261083743842,0.450738916256158,0.572347266881029,0.993693441878341,0.700189054012299,0.739682541666667,4
BRATS_060.nii.gz,68,0.162866449511401,0.837133550488599,5.73646209386282,0.96773347782769,0.0698605328798294,0.70820575,4
BRATS_061.nii.gz,93,0.0267558528428094,0.973244147157191,1.70847457627119,0.986104556656704,0.0711150839924812,0.678953375,4
BRATS_062.nii.gz,60,0.185735512630015,0.814264487369985,2.53833333333333,0.963570159545463,0.203163236379623,0.708277,4
BRATS_063.nii.gz,80,0.129518072289157,0.870481927710843,0.932659932659933,0.990103857047942,0.444010108709335,0.7727895,4
BRATS_064.nii.gz,79,0.445754716981132,0.554245283018868,0.63030303030303,0.992257139860873,0.632308423519135,0.698866458333333,4
BRATS_065.nii.gz,52,0.0788288288288288,0.921171171171171,0.153664302600473,0.991687273109907,0.13162437081337,0.691358625,4
BRATS_066.nii.gz,83,0.375166889185581,0.624833110814419,2.37188612099644,0.968399628024494,0.280204772949219,0.7424175,4
BRATS_067.nii.gz,53,0,1,3.31884057971015,0.984396544201065,0.0023340554907918,0.703528791666667,4
BRATS_068.nii.gz,20,NaN,NaN,Inf,0.99296875,0,0.660099791666667,4
BRATS_069.nii.gz,21,NaN,NaN,Inf,0.994288194444444,0,0.640834375,4
BRATS_070.nii.gz,22,NaN,NaN,Inf,0.994357638888889,0,0.64971025,4
BRATS_071.nii.gz,88,0.341107871720117,0.658892128279883,9.58241758241758,0.950368481715623,0.0871796980500221,0.697425291666667,4
BRATS_072.nii.gz,89,0.208791208791209,0.791208791208791,8.18269230769231,0.9503226144888,0.0543568804860115,0.67993225,4
BRATS_073.nii.gz,64,0.0712830957230143,0.928716904276986,3.35456475583864,0.964249341527656,0.052478201687336,0.667717791666667,4
BRATS_074.nii.gz,67,0.241329479768786,0.758670520231214,0.824956672443674,0.9824,0.563623785972595,0.681072583333333,4
BRATS_075.nii.gz,64,0.267665952890792,0.732334047109208,0.709677419354839,0.989002714298223,0.585029363632202,0.71881375,4
BRATS_076.nii.gz,103,0.438271604938272,0.561728395061728,3.8962962962963,0.978450684548757,0.174535229802132,0.717968083333333,4
BRATS_077.nii.gz,19,0.392638036809816,0.607361963190184,3.66923076923077,0.989974413868728,0.218026280403137,0.645292541666667,4
BRATS_078.nii.gz,68,0.366559485530547,0.633440514469453,9.74609375,0.953006895347822,0.0863373205065727,0.679437666666667,4
BRATS_079.nii.gz,74,0.354838709677419,0.645161290322581,4.99488491048593,0.960240689884378,0.148038551211357,0.676632875,4
BRATS_080.nii.gz,86,0,1,1.87028301886792,0.978653616782432,0.0286195371299982,0.678850375,4
BRATS_081.nii.gz,58,0.440389294403893,0.559610705596107,0.4875,0.993256464011181,0.766546070575714,0.6881705,4
BRATS_082.nii.gz,72,0.4453125,0.5546875,5.8122866894198,0.966543854441321,0.152780160307884,0.698252583333333,4
BRATS_083.nii.gz,90,0.108196721311475,0.891803278688525,2.75347222222222,0.981391204067726,0.104146741330624,0.689379041666667,4
BRATS_084.nii.gz,17,NaN,NaN,Inf,0.994618055555556,0,0.670725583333333,4
BRATS_085.nii.gz,102,0.157434402332362,0.842565597667638,1.02721088435374,0.989673789596911,0.542735159397125,0.679049375,4
BRATS_086.nii.gz,56,0.296380090497738,0.703619909502262,5.0792349726776,0.962052322327924,0.12534262239933,0.733271625,4
BRATS_087.nii.gz,90,0.21606648199446,0.78393351800554,2.29192546583851,0.982147852846552,0.142513185739517,0.755367208333333,4
BRATS_088.nii.gz,90,0.146739130434783,0.853260869565217,2.01590457256461,0.97391029357508,0.162660330533981,0.714024541666667,4
BRATS_089.nii.gz,93,0.096,0.904,0.796511627906977,0.989272902266165,0.361466199159622,0.732155,4
BRATS_090.nii.gz,91,0.475,0.525,0.25,0.992373639089044,0.689025521278381,0.724104875,4
BRATS_091.nii.gz,99,0.549618320610687,0.450381679389313,0.406666666666667,0.994778204680405,0.791666984558105,0.666905708333333,4
BRATS_092.nii.gz,80,0.0579710144927536,0.942028985507246,2.01068376068376,0.975501465349315,0.0674126744270325,0.690341583333333,4
BRATS_093.nii.gz,72,0.376744186046512,0.623255813953488,2.592,0.970224108301477,0.244647547602654,0.681425708333333,4
BRATS_094.nii.gz,77,0.375,0.625,4.25525525525526,0.970430953129915,0.213756904006004,0.693628666666667,4
BRATS_095.nii.gz,95,0.0833333333333333,0.916666666666667,7.8771186440678,0.963515117659381,0.0549888201057911,0.714931833333333,4
BRATS_096.nii.gz,68,0,1,0.490566037735849,0.993095974691067,0.12979844212532,0.658614416666667,4
BRATS_097.nii.gz,67,0.447837150127226,0.552162849872774,0.646302250803859,0.992697541971664,0.702702939510345,0.712598583333333,4
BRATS_098.nii.gz,90,0.373015873015873,0.626984126984127,0.713754646840149,0.992516354121239,0.583602607250214,0.671931166666667,4
BRATS_099.nii.gz,94,0.404605263157895,0.595394736842105,7.17488789237668,0.968959687679732,0.143577456474304,0.679029458333333,4
BRATS_100.nii.gz,101,0.467505241090147,0.532494758909853,0.501385041551247,0.99239616836806,0.734903931617737,0.735932958333333,4
BRATS_101.nii.gz,103,0.295,0.705,5.43613707165109,0.964576561462375,0.152164220809937,0.91995375,4
BRATS_102.nii.gz,82,0.175548589341693,0.824451410658307,2.18505338078292,0.984681490279646,0.195067450404167,0.714778125,4
BRATS_103.nii.gz,80,0.204334365325077,0.795665634674923,5.47252747252747,0.969402554738148,0.0857345759868622,0.731852791666667,4
BRATS_104.nii.gz,41,0,1,2.58441558441558,0.975832297157668,0.00599758885800838,0.660069041666667,4
BRATS_105.nii.gz,87,0.0175,0.9825,3.16243654822335,0.971261243884905,0.0528126358985901,0.6873615,4
BRATS_106.nii.gz,84,0.053835800807537,0.946164199192463,1.56923076923077,0.967767004009255,0.0814832076430321,0.710799875,4
BRATS_107.nii.gz,82,0.133182844243792,0.866817155756208,3.99760765550239,0.963967597138449,0.0728089585900307,0.672730916666667,4
BRATS_108.nii.gz,95,0.27807486631016,0.72192513368984,0.318840579710145,0.987016414208054,0.508573591709137,0.69876225,4
BRATS_109.nii.gz,95,0.5,0.5,0.352313167259786,0.994729125942474,0.83295089006424,0.68856225,4
BRATS_110.nii.gz,85,0.141891891891892,0.858108108108108,5.91891891891892,0.968800195544382,0.115374371409416,0.697765458333333,4
BRATS_111.nii.gz,58,0.287096774193548,0.712903225806452,3.08759124087591,0.981355606423317,0.128778114914894,0.755846416666667,4
BRATS_112.nii.gz,62,0.247933884297521,0.752066115702479,0.677083333333333,0.989082320006998,0.656620919704437,0.724348666666667,4
BRATS_113.nii.gz,95,0.538,0.462,0.33509234828496,0.993739069604757,0.837069869041443,0.721185125,4
BRATS_114.nii.gz,49,0.053125,0.946875,3.33333333333333,0.976689691352627,0.0488771758973598,0.66633425,4
BRATS_115.nii.gz,56,0.457583547557841,0.542416452442159,2.99675324675325,0.980190755685987,0.325592041015625,0.668662916666667,4
BRATS_116.nii.gz,70,0.198275862068966,0.801724137931034,0.660847880299252,0.988843937722202,0.580267488956451,0.690926875,4
BRATS_117.nii.gz,68,0.153013910355487,0.846986089644513,0.454063604240283,0.985845407230271,0.395325303077698,0.665437708333333,4
BRATS_118.nii.gz,94,0.41796875,0.58203125,1.88536585365854,0.981250656489619,0.404306828975677,0.713224958333333,4
BRATS_119.nii.gz,87,0.317195325542571,0.682804674457429,1.7980198019802,0.976886221239404,0.30666920542717,0.679184666666667,4
BRATS_120.nii.gz,81,0,1,5.25263157894737,0.979278949296217,0.0041929786093533,0.725328541666667,4
